,상권_구분_코드_명,상권_코드_명,분기당_매출_금액,분기당_매출_건수
101,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
102,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
103,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
104,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
105,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
106,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
107,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
108,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
109,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
110,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
111,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
112,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
113,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
114,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
115,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
116,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
117,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
118,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
119,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
120,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
121,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
122,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
123,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
124,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
125,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
126,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
127,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
128,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
129,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
130,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
131,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
132,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
133,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
134,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
135,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
136,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
137,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
138,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
139,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
140,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
141,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
142,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
143,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
144,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
145,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
146,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
147,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
148,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
149,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
150,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
151,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
152,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
153,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
154,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
155,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
156,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
157,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
158,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
159,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
160,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
161,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
162,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
163,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
164,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
165,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
166,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
167,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
168,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
169,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
170,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
171,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
172,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
173,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
174,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
175,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
176,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
177,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
178,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
179,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
180,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
181,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
182,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
183,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
184,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
185,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
186,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
187,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
188,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
189,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
190,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
191,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
192,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
193,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
194,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
195,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
196,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
197,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
198,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
199,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
200,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
201,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
202,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
203,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
204,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
205,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
206,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
207,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
208,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
209,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
210,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
211,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
212,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
213,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
214,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
215,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
216,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
217,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
218,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
219,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
220,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
221,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
222,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
223,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
224,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
225,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
226,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
227,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
228,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
229,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
230,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
231,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
232,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
233,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
234,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
235,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
236,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
237,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
238,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
239,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
240,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
241,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
242,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
243,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
244,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
245,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
246,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
247,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
248,관광특구,강남 마이스 관광특구,1680205534.0,305331.0
249,관광특구,강남 마이스 관광특구,1868189492.0,350641.0
250,관광특구,강남 마이스 관광특구,1857458362.0,329511.0
251,관광특구,강남 마이스 관광특구,1998536457.0,365621.0
